,Customer_ID,Age,Years_in_Business,Monthly_MPesa_Inflow,Airtime_Spend,Loan_Amount_Requested,Default_Status,Region
538,1539,23.0,2,28910.0,457.0,10000,1,Nairobi
539,1540,64.0,0,24131.5,599.0,KES 5000,0,Mombasa
540,1541,42.0,13,13205.0,393.0,KES 20000,1,Mombasa
541,1542,83.0,11,24131.5,602.0,5000,0,Nairobi
542,1543,27.0,7,6899.0,887.0,50000,0,Nairobi
543,1544,73.0,11,24131.5,663.0,KES 5000,0,Nairobi
544,1545,47.0,12,40534.0,490.0,10000,1,Mombasa
545,1546,22.0,4,18092.0,463.0,10000,0,Mombasa
546,1547,50.0,14,24131.5,429.0,5000,1,Nairobi
547,1548,82.0,4,24131.5,736.0,10000,0,Nairobi
548,1549,35.0,10,22974.0,375.0,10000,1,Mombasa
549,1550,66.0,3,36910.0,509.0,50000,1,Mombasa
550,1551,28.0,5,26013.0,510.0,20000,0,Nairobi
551,1552,43.0,2,14245.0,400.0,50000,1,Nairobi
553,1554,76.0,4,33415.0,565.0,50000,1,Mombasa
554,1555,44.0,2,63559.0,488.0,5000,1,Mombasa
555,1556,66.0,10,7346.0,600.0,KES 20000,0,Mombasa
556,1557,50.0,0,24131.5,393.0,5000,0,Nairobi
557,1558,18.0,9,39515.0,744.0,KES 2000,0,Nairobi
559,1560,72.0,5,31952.0,842.0,10000,1,Nairobi
560,1561,23.0,14,39029.0,150.0,50000,0,Nairobi
562,1563,20.0,12,22102.0,595.0,2000,1,Nairobi
563,1564,70.0,2,25074.0,341.0,10000,0,Nairobi
565,1566,70.0,8,45093.0,756.0,KES 10000,1,Mombasa
566,1567,54.0,7,14846.0,57.0,KES 50000,0,Mombasa
567,1568,34.0,11,15596.0,601.0,20000,1,Nairobi
568,1569,18.0,1,23426.0,1.0,KES 10000,0,Mombasa
569,1570,68.0,14,34714.0,307.0,10000,1,Nairobi
570,1571,62.0,11,24131.5,826.0,10000,1,Nairobi
571,1572,21.0,10,25940.0,384.0,20000,1,Mombasa
572,1573,79.0,7,31992.0,265.0,2000,1,Nairobi
573,1574,82.0,11,13532.0,460.0,50000,1,Mombasa
574,1575,49.0,13,28166.0,914.0,10000,0,Mombasa
576,1577,56.0,0,15350.0,290.0,2000,0,Mombasa
577,1578,43.0,12,25520.0,799.0,KES 50000,1,Mombasa
579,1580,71.0,7,23392.0,479.0,50000,1,Mombasa
582,1583,29.0,13,55364.0,819.0,20000,1,Mombasa
583,1584,82.0,1,24877.0,636.0,2000,0,Nairobi
584,1585,71.0,3,69097.0,338.0,KES 10000,1,Nairobi
585,1586,22.0,6,38991.0,490.0,2000,1,Mombasa
586,1587,74.0,2,21194.0,468.0,2000,0,Nairobi
587,1588,34.0,12,13803.0,566.0,5000,1,Nairobi
588,1589,64.0,11,9334.0,790.0,KES 2000,0,Nairobi
589,1590,40.0,4,22138.0,676.0,KES 50000,1,Nairobi
590,1591,31.0,7,11620.0,285.0,20000,0,Mombasa
591,1592,83.0,11,24131.5,775.0,5000,1,Mombasa
592,1593,68.0,9,32156.0,563.0,KES 20000,0,Mombasa
593,1594,55.0,2,6960.0,637.0,20000,0,Nairobi
595,1596,55.0,13,26998.0,278.0,10000,0,Nairobi
596,1597,67.0,14,38196.0,493.0,5000,1,Mombasa
598,1599,68.0,13,5191.0,186.0,10000,0,Mombasa
599,1600,80.0,13,24131.5,569.0,KES 10000,0,Mombasa
600,1601,69.0,6,15120.0,1002.0,KES 20000,0,Nairobi
601,1602,55.0,0,5561.0,132.0,5000,0,Nairobi
602,1603,47.0,13,25636.0,494.0,20000,0,Nairobi
603,1604,68.0,11,29375.0,628.0,50000,1,Nairobi
605,1606,46.0,3,5463.0,477.0,50000,1,Mombasa
606,1607,21.0,8,86435.0,240.0,2000,0,Mombasa
607,1608,27.0,5,12426.0,547.0,KES 2000,0,Mombasa
608,1609,73.0,8,48515.0,349.0,50000,0,Nairobi
610,1611,34.0,14,17942.0,739.0,KES 20000,0,Mombasa
611,1612,51.0,5,33787.0,692.0,50000,1,Mombasa
614,1615,83.0,4,34618.0,715.0,2000,0,Nairobi
615,1616,60.0,1,25216.0,545.0,50000,1,Nairobi
616,1617,40.0,7,41414.0,681.0,10000,0,Nairobi
617,1618,72.0,7,16831.0,441.0,KES 10000,1,Mombasa
618,1619,33.0,10,48511.0,762.0,KES 50000,0,Nairobi
620,1621,21.0,0,34110.0,539.0,10000,0,Mombasa
622,1623,73.0,4,4622.0,557.0,5000,0,Mombasa
623,1624,42.0,1,40890.0,334.0,5000,1,Mombasa
624,1625,84.0,13,13341.0,372.0,20000,1,Mombasa
625,1626,84.0,1,9960.0,337.0,KES 5000,0,Mombasa
627,1628,49.0,14,44494.0,925.0,10000,1,Nairobi
628,1629,67.0,14,9555.0,766.0,50000,1,Nairobi
629,1630,78.0,5,8234.0,884.0,KES 50000,1,Nairobi
630,1631,68.0,10,17104.0,255.0,5000,1,Nairobi
634,1635,59.0,11,78657.0,316.0,5000,0,Mombasa
635,1636,78.0,5,33177.0,748.0,5000,1,Mombasa
636,1637,39.0,8,37703.0,421.0,2000,0,Nairobi
637,1638,38.0,7,27095.0,714.0,KES 20000,0,Nairobi
638,1639,18.0,10,5131.0,621.0,2000,0,Mombasa
639,1640,22.0,5,43713.0,961.0,50000,1,Nairobi
640,1641,29.0,2,25651.0,204.0,10000,1,Nairobi
641,1642,63.0,7,10679.0,752.0,50000,1,Nairobi
642,1643,51.0,8,52350.0,729.0,10000,1,Mombasa
643,1644,66.0,0,49658.0,305.0,5000,1,Nairobi
644,1645,62.0,11,52525.0,701.0,20000,0,Mombasa
645,1646,44.0,8,47506.0,567.0,2000,1,Mombasa
646,1647,43.0,13,15991.0,455.0,20000,0,Nairobi
648,1649,73.0,5,51601.0,356.0,50000,0,Mombasa
649,1650,80.0,5,47906.0,910.0,50000,1,Nairobi
650,1651,65.0,11,1400.0,500.0,2000,1,Mombasa
651,1652,78.0,3,23578.0,656.0,20000,1,Nairobi
652,1653,43.0,0,13585.0,342.0,2000,1,Mombasa
653,1654,53.0,9,64700.0,344.0,KES 5000,1,Mombasa
655,1656,25.0,1,34882.0,230.0,5000,0,Mombasa
656,1657,69.0,11,28931.0,417.0,KES 50000,1,Nairobi
657,1658,64.0,0,60251.0,507.0,KES 50000,0,Nairobi
658,1659,73.0,1,79368.0,522.0,10000,1,Mombasa
660,1661,45.0,0,24131.5,579.0,5000,0,Nairobi
661,1662,19.0,8,62618.0,639.0,KES 10000,0,Nairobi
663,1664,31.0,13,10076.0,303.0,5000,0,Nairobi
664,1665,76.0,0,14415.0,443.0,2000,0,Nairobi
666,1667,24.0,3,26375.0,679.0,5000,0,Nairobi
667,1668,20.0,9,14545.0,225.0,20000,1,Mombasa
668,1669,40.0,5,57852.0,570.0,5000,1,Nairobi
669,1670,35.0,6,5641.0,104.0,KES 50000,0,Nairobi
670,1671,55.0,1,13940.0,509.0,2000,0,Nairobi
671,1672,32.0,5,22178.0,880.0,KES 10000,1,Nairobi
672,1673,81.0,6,24131.5,310.0,50000,0,Mombasa
673,1674,45.0,9,14308.0,333.0,KES 20000,0,Nairobi
674,1675,56.0,13,37009.0,653.0,50000,0,Mombasa
675,1676,74.0,9,22144.0,191.0,50000,0,Nairobi
676,1677,34.0,1,8353.0,373.0,KES 20000,0,Mombasa
677,1678,61.0,14,36506.0,619.0,50000,0,Mombasa
678,1679,42.0,1,19724.0,373.0,10000,0,Mombasa
679,1680,34.0,9,16105.0,453.0,5000,1,Nairobi
680,1681,30.0,6,7091.0,649.0,50000,0,Nairobi
683,1684,84.0,7,14904.0,432.0,KES 5000,1,Mombasa
684,1685,35.0,10,9094.0,574.0,50000,1,Nairobi
685,1686,51.0,12,4656.0,475.0,10000,0,Nairobi
686,1687,25.0,2,4132.0,592.0,50000,1,Nairobi
687,1688,57.0,10,22602.0,401.0,KES 20000,1,Nairobi
688,1689,59.0,5,26735.0,463.0,KES 5000,1,Mombasa
689,1690,58.0,8,33478.0,302.0,50000,1,Nairobi
691,1692,69.0,8,28771.0,338.0,KES 10000,0,Nairobi
692,1693,43.0,6,66697.0,277.0,2000,0,Mombasa
694,1695,76.0,8,24131.5,543.0,50000,0,Mombasa
695,1696,73.0,1,50216.0,657.0,5000,0,Mombasa
698,1699,70.0,7,21065.0,610.0,10000,1,Nairobi
699,1700,39.0,1,30752.0,589.0,50000,0,Mombasa
700,1701,38.0,11,11717.0,335.0,KES 20000,1,Mombasa
702,1703,79.0,3,19185.0,573.0,2000,0,Nairobi
704,1705,41.0,14,18255.0,83.0,10000,1,Nairobi
705,1706,72.0,10,34058.0,532.0,10000,0,Mombasa
706,1707,26.0,14,11719.0,943.0,KES 2000,1,Mombasa
707,1708,20.0,6,22369.0,428.0,50000,1,Mombasa
708,1709,48.0,10,5017.0,354.0,5000,1,Mombasa
709,1710,57.0,3,17426.0,575.0,10000,1,Mombasa
710,1711,53.0,3,25307.0,562.0,20000,1,Nairobi
711,1712,41.0,5,23357.0,739.0,KES 10000,0,Nairobi
712,1713,23.0,9,44125.0,248.0,5000,0,Mombasa
713,1714,83.0,5,24131.5,646.0,10000,0,Mombasa
716,1717,68.0,2,13765.0,568.0,10000,1,Nairobi
717,1718,79.0,14,11648.0,706.0,20000,1,Mombasa
719,1720,83.0,11,19616.0,271.0,2000,0,Nairobi
721,1722,43.0,13,34827.0,487.0,20000,1,Mombasa
722,1723,68.0,10,6505.0,515.0,10000,1,Mombasa
724,1725,61.0,5,28109.0,470.0,5000,0,Mombasa
725,1726,22.0,11,24131.5,738.0,5000,0,Nairobi
726,1727,43.0,6,28099.0,483.0,20000,0,Nairobi
727,1728,36.0,11,42974.0,276.0,50000,0,Nairobi
729,1730,29.0,8,20134.0,536.0,50000,0,Mombasa
730,1731,64.0,12,93621.0,746.0,2000,0,Mombasa
731,1732,18.0,2,13100.0,621.0,KES 5000,0,Nairobi
733,1734,81.0,2,16823.0,997.0,20000,1,Mombasa
734,1735,55.0,6,3982.0,553.0,50000,0,Nairobi
735,1736,54.0,13,13872.0,755.0,KES 5000,1,Mombasa
737,1738,20.0,12,30206.0,607.0,KES 20000,1,Mombasa
738,1739,50.0,7,18401.0,668.0,20000,1,Mombasa
739,1740,23.0,12,13757.0,744.0,50000,1,Mombasa
740,1741,67.0,6,16626.0,711.0,2000,0,Nairobi
741,1742,27.0,4,37051.0,674.0,2000,0,Mombasa
742,1743,22.0,6,24131.5,437.0,10000,0,Mombasa
744,1745,27.0,11,24131.5,567.0,50000,1,Mombasa
745,1746,61.0,1,26979.0,687.0,5000,1,Nairobi
746,1747,19.0,5,4665.0,455.0,50000,1,Mombasa
747,1748,30.0,1,51312.0,713.0,50000,0,Nairobi
748,1749,57.0,2,17006.0,791.0,50000,0,Mombasa
749,1750,19.0,5,8731.0,317.0,5000,0,Nairobi
750,1751,82.0,4,24131.5,333.0,20000,0,Mombasa
751,1752,80.0,7,51811.0,472.0,KES 5000,0,Nairobi
752,1753,34.0,8,2239.0,562.0,50000,0,Mombasa
753,1754,26.0,10,33992.0,395.0,10000,1,Mombasa
756,1757,55.0,9,70195.0,508.0,10000,1,Nairobi
758,1759,66.0,2,36852.0,237.0,50000,0,Nairobi
759,1760,79.0,12,27234.0,556.0,10000,1,Mombasa
760,1761,77.0,12,76289.0,73.0,KES 50000,0,Mombasa
761,1762,67.0,5,19943.0,703.0,KES 5000,0,Mombasa
762,1763,26.0,14,34165.0,468.0,10000,0,Nairobi
763,1764,51.0,14,27104.0,1149.0,KES 5000,1,Mombasa
765,1766,18.0,6,22276.0,464.0,10000,1,Nairobi
766,1767,57.0,11,15186.0,479.0,2000,1,Mombasa
767,1768,81.0,0,27243.0,699.0,10000,0,Mombasa
768,1769,39.0,13,34646.0,841.0,2000,1,Nairobi
772,1773,31.0,12,7354.0,617.0,50000,1,Nairobi
773,1774,77.0,7,37206.0,599.0,20000,1,Mombasa
774,1775,47.0,3,97302.0,714.0,5000,0,Nairobi
775,1776,52.0,4,19046.0,260.0,5000,0,Nairobi
776,1777,54.0,3,12617.0,37.0,2000,0,Mombasa
777,1778,22.0,11,16916.0,672.0,50000,0,Mombasa
778,1779,43.0,11,7464.0,334.0,KES 2000,1,Nairobi
780,1781,21.0,3,30371.0,529.0,KES 5000,1,Mombasa
781,1782,59.0,11,24125.0,659.0,KES 50000,1,Nairobi
782,1783,35.0,7,24131.5,476.0,20000,1,Mombasa
783,1784,57.0,1,9212.0,408.0,KES 20000,1,Nairobi
784,1785,56.0,0,24131.5,468.0,50000,1,Mombasa
786,1787,49.0,8,27645.0,230.0,2000,1,Mombasa
787,1788,68.0,3,2456.0,357.0,50000,1,Nairobi
788,1789,55.0,9,21553.0,604.0,20000,1,Nairobi
790,1791,80.0,1,19668.0,534.0,2000,1,Nairobi
791,1792,32.0,3,21593.0,301.0,2000,1,Mombasa
792,1793,42.0,1,24131.5,464.0,2000,0,Nairobi
795,1796,70.0,3,28896.0,786.0,50000,0,Mombasa
796,1797,68.0,5,15652.0,205.0,5000,1,Mombasa
798,1799,68.0,9,61179.0,566.0,10000,1,Mombasa
799,1800,23.0,2,9397.0,751.0,2000,1,Nairobi
801,1802,24.0,9,21555.0,362.0,20000,0,Nairobi
802,1803,68.0,5,14846.0,106.0,20000,0,Mombasa
804,1805,81.0,11,48821.0,908.0,50000,1,Nairobi
805,1806,32.0,2,21168.0,555.0,5000,1,Nairobi
806,1807,46.0,12,92169.0,496.0,5000,1,Nairobi
807,1808,50.0,1,30569.0,564.0,20000,0,Nairobi
808,1809,44.0,7,67236.0,498.0,2000,1,Nairobi
809,1810,53.0,4,62970.0,337.0,10000,1,Mombasa
810,1811,46.0,14,33920.0,665.0,KES 5000,1,Nairobi
811,1812,55.0,0,8743.0,545.0,5000,0,Mombasa
812,1813,74.0,2,24131.5,504.0,2000,0,Nairobi
813,1814,44.0,9,13480.0,305.0,2000,1,Mombasa
814,1815,72.0,7,36703.0,761.0,50000,1,Mombasa
815,1816,50.0,3,32547.0,633.0,10000,1,Mombasa
816,1817,83.0,13,29464.0,389.0,2000,0,Nairobi
817,1818,27.0,6,43466.0,700.0,KES 5000,0,Mombasa
818,1819,22.0,9,31510.0,400.0,5000,0,Nairobi
819,1820,55.0,11,23253.0,344.0,20000,1,Nairobi
821,1822,48.0,13,14673.0,146.0,50000,1,Mombasa
823,1824,69.0,6,45356.0,134.0,50000,0,Mombasa
824,1825,73.0,4,22086.0,254.0,5000,1,Mombasa
825,1826,32.0,4,29556.0,85.0,50000,0,Nairobi
826,1827,46.0,5,24131.5,483.0,KES 5000,1,Nairobi
827,1828,25.0,12,53191.0,470.0,5000,1,Nairobi
828,1829,22.0,8,38429.0,435.0,KES 5000,0,Nairobi
830,1831,64.0,5,23991.0,266.0,5000,1,Mombasa
831,1832,62.0,11,12277.0,593.0,20000,1,Mombasa
832,1833,19.0,12,24131.5,390.0,50000,1,Mombasa
833,1834,44.0,14,5564.0,563.0,20000,1,Mombasa
836,1837,43.0,6,42782.0,761.0,KES 2000,1,Nairobi
837,1838,60.0,8,10753.0,617.0,KES 2000,0,Nairobi
838,1839,44.0,3,64347.0,418.0,10000,0,Mombasa
839,1840,37.0,1,19096.0,551.0,2000,1,Mombasa
840,1841,28.0,6,35778.0,452.0,KES 50000,1,Mombasa
842,1843,23.0,0,55016.0,435.0,50000,1,Mombasa
844,1845,64.0,8,19757.0,542.0,10000,0,Nairobi
846,1847,29.0,11,39676.0,297.0,20000,1,Nairobi
847,1848,30.0,1,54909.0,222.0,KES 50000,1,Nairobi
849,1850,77.0,4,23162.0,257.0,50000,0,Nairobi
850,1851,60.0,4,16458.0,532.0,KES 2000,0,Nairobi
851,1852,22.0,14,56675.0,321.0,KES 5000,0,Nairobi
853,1854,48.0,7,24131.5,507.0,20000,0,Nairobi
854,1855,26.0,11,40934.0,106.0,KES 20000,0,Mombasa
855,1856,68.0,7,60784.0,631.0,10000,1,Nairobi
857,1858,57.0,12,24131.5,301.0,10000,0,Nairobi
858,1859,58.0,6,88068.0,584.0,2000,1,Mombasa
859,1860,28.0,14,24131.5,329.0,5000,1,Mombasa
860,1861,40.0,14,77276.0,520.0,10000,0,Nairobi
862,1863,63.0,9,41251.0,141.0,KES 5000,0,Mombasa
863,1864,38.0,2,28210.0,423.0,10000,1,Nairobi
864,1865,53.0,5,27835.0,475.0,20000,0,Mombasa
866,1867,74.0,9,37218.0,263.0,50000,0,Mombasa
867,1868,18.0,12,23741.0,420.0,10000,1,Nairobi
868,1869,80.0,9,14366.0,554.0,KES 50000,1,Nairobi
869,1870,71.0,11,37445.0,491.0,5000,1,Mombasa
870,1871,72.0,13,22021.0,537.0,KES 10000,1,Nairobi
871,1872,57.0,8,53339.0,366.0,KES 5000,1,Mombasa
872,1873,32.0,0,52214.0,734.0,5000,1,Mombasa
873,1874,38.0,4,33670.0,265.0,2000,1,Mombasa
876,1877,26.0,10,79398.0,596.0,10000,1,Mombasa
877,1878,69.0,11,36559.0,459.0,10000,1,Mombasa
878,1879,74.0,0,60643.0,394.0,KES 20000,0,Nairobi
879,1880,43.0,8,24131.5,707.0,2000,0,Nairobi
880,1881,58.0,5,24131.5,215.0,KES 5000,1,Mombasa
881,1882,52.0,3,4697.0,306.0,2000,0,Nairobi
882,1883,80.0,11,36953.0,420.0,50000,0,Mombasa
883,1884,42.0,8,4182.0,748.0,5000,1,Nairobi
884,1885,55.0,10,53337.0,576.0,KES 2000,1,Mombasa
886,1887,24.0,14,22224.0,438.0,20000,0,Mombasa
887,1888,51.0,4,31995.0,377.0,5000,1,Nairobi
889,1890,60.0,4,21913.0,696.0,20000,0,Mombasa
891,1892,68.0,0,31017.0,822.0,50000,0,Mombasa
892,1893,71.0,7,26476.0,666.0,2000,0,Mombasa
893,1894,41.0,11,24131.5,718.0,20000,0,Mombasa
894,1895,42.0,7,16741.0,407.0,10000,0,Nairobi
895,1896,69.0,11,32249.0,470.0,KES 20000,0,Nairobi
896,1897,50.0,14,31461.0,213.0,2000,0,Mombasa
897,1898,66.0,14,14190.0,395.0,2000,1,Mombasa
898,1899,46.0,5,21714.0,599.0,5000,1,Mombasa
899,1900,80.0,11,4236.0,759.0,10000,1,Nairobi
900,1901,39.0,10,20790.0,279.0,2000,0,Nairobi
901,1902,43.0,12,4402.0,427.0,KES 50000,1,Mombasa
902,1903,45.0,3,24131.5,470.0,10000,0,Nairobi
903,1904,66.0,1,10046.0,221.0,10000,1,Mombasa
904,1905,66.0,13,12967.0,618.0,50000,0,Mombasa
905,1906,37.0,1,61995.0,355.0,KES 20000,1,Mombasa
907,1908,78.0,14,18349.0,410.0,50000,1,Mombasa
908,1909,66.0,4,31998.0,342.0,KES 20000,0,Nairobi
909,1910,18.0,3,3215.0,499.0,20000,1,Mombasa
910,1911,30.0,9,22204.0,457.0,20000,0,Nairobi
911,1912,68.0,12,29863.0,426.0,20000,1,Mombasa
912,1913,73.0,0,9548.0,354.0,20000,1,Nairobi
913,1914,79.0,6,6302.0,564.0,KES 50000,1,Mombasa
914,1915,49.0,2,43389.0,831.0,5000,0,Nairobi
915,1916,47.0,5,3377.0,528.0,5000,0,Mombasa
917,1918,66.0,4,8350.0,222.0,5000,0,Nairobi
918,1919,62.0,10,1606.0,532.0,5000,0,Mombasa
919,1920,47.0,4,53871.0,281.0,KES 50000,1,Mombasa
920,1921,33.0,0,40661.0,205.0,20000,0,Mombasa
921,1922,57.0,0,56978.0,352.0,KES 20000,1,Nairobi
922,1923,36.0,2,27744.0,738.0,50000,1,Nairobi
925,1926,64.0,9,24131.5,193.0,2000,0,Nairobi
927,1928,55.0,4,51483.0,560.0,10000,0,Mombasa
928,1929,68.0,1,16638.0,535.0,2000,1,Nairobi
929,1930,80.0,7,32292.0,131.0,2000,0,Mombasa
930,1931,21.0,10,30423.0,322.0,50000,0,Nairobi
931,1932,18.0,10,7721.0,487.0,KES 5000,0,Mombasa
932,1933,25.0,13,7915.0,607.0,20000,1,Nairobi
933,1934,46.0,1,40102.0,61.0,10000,0,Nairobi
934,1935,72.0,8,24131.5,468.0,2000,1,Mombasa
936,1937,49.0,12,11209.0,670.0,5000,0,Mombasa
937,1938,27.0,8,13552.0,639.0,5000,1,Nairobi
938,1939,51.0,6,33113.0,617.0,10000,1,Nairobi
939,1940,72.0,14,21483.0,340.0,20000,0,Nairobi
940,1941,49.0,7,18816.0,118.0,5000,0,Mombasa
941,1942,67.0,14,10247.0,421.0,10000,0,Nairobi
943,1944,25.0,1,11948.0,779.0,10000,0,Mombasa
944,1945,82.0,6,36482.0,642.0,10000,1,Nairobi
945,1946,74.0,11,24131.5,586.0,50000,1,Mombasa
946,1947,84.0,5,18646.0,576.0,5000,1,Mombasa
947,1948,76.0,3,36956.0,389.0,20000,1,Mombasa
948,1949,71.0,6,31185.0,474.0,20000,1,Mombasa
949,1950,84.0,13,32993.0,834.0,50000,0,Mombasa
950,1951,68.0,12,22353.0,311.0,20000,0,Nairobi
951,1952,25.0,3,8368.0,823.0,10000,1,Nairobi
952,1953,51.0,1,44739.0,436.0,50000,1,Nairobi
953,1954,52.0,9,24474.0,765.0,2000,0,Mombasa
954,1955,49.0,11,14324.0,219.0,5000,0,Mombasa
955,1956,63.0,6,13324.0,617.0,5000,1,Nairobi
956,1957,33.0,7,70200.0,353.0,5000,1,Mombasa
957,1958,54.0,1,21223.0,217.0,10000,0,Mombasa
958,1959,71.0,4,6500.0,544.0,2000,0,Mombasa
959,1960,31.0,0,55245.0,702.0,KES 50000,1,Nairobi
960,1961,72.0,6,18572.0,331.0,KES 50000,0,Mombasa
961,1962,65.0,7,15097.0,200.0,5000,0,Mombasa
963,1964,24.0,5,25414.0,483.0,2000,1,Mombasa
964,1965,50.0,4,46403.0,610.0,2000,1,Mombasa
965,1966,40.0,14,26107.0,690.0,20000,0,Mombasa
966,1967,36.0,5,16336.0,488.0,20000,1,Mombasa
968,1969,53.0,1,19604.0,545.0,KES 2000,1,Nairobi
970,1971,77.0,6,11382.0,178.0,50000,0,Nairobi
971,1972,19.0,6,24131.5,447.0,50000,0,Nairobi
972,1973,18.0,9,16703.0,433.0,5000,1,Nairobi
973,1974,64.0,10,31837.0,692.0,2000,1,Mombasa
974,1975,37.0,9,24131.5,592.0,5000,0,Nairobi
975,1976,28.0,13,42321.0,264.0,50000,1,Nairobi
976,1977,19.0,1,27271.0,534.0,50000,0,Nairobi
977,1978,84.0,1,68019.0,634.0,20000,0,Nairobi
978,1979,29.0,0,27765.0,806.0,5000,1,Nairobi
979,1980,37.0,9,36120.0,678.0,KES 5000,0,Mombasa
981,1982,54.0,14,8477.0,512.0,2000,0,Nairobi
982,1983,55.0,7,54435.0,578.0,20000,1,Nairobi
983,1984,26.0,0,31981.0,750.0,10000,0,Nairobi
984,1985,70.0,11,36817.0,233.0,10000,1,Mombasa
987,1988,47.0,8,9292.0,576.0,5000,0,Nairobi
989,1990,31.0,3,12243.0,381.0,5000,1,Nairobi
990,1991,26.0,0,7754.0,22.0,5000,1,Nairobi
991,1992,57.0,0,16982.0,418.0,5000,0,Nairobi
992,1993,83.0,2,8644.0,683.0,20000,1,Nairobi
997,1998,75.0,8,24131.5,603.0,20000,0,Nairobi
1000,1001,69.0,10,49953.0,640.0,50000,1,Nairobi
1002,1003,78.0,1,37600.0,849.0,KES 5000,1,Mombasa
1003,1004,38.0,4,24131.5,686.0,50000,1,Mombasa
1004,1005,41.0,9,24131.5,453.0,50000,1,Nairobi
1006,1007,39.0,8,59217.0,279.0,10000,0,Nairobi
1007,1008,70.0,5,20272.0,335.0,5000,1,Mombasa
1008,1009,19.0,1,7520.0,378.0,50000,0,Mombasa
1009,1010,47.0,0,4767.0,394.0,10000,0,Mombasa
1011,1012,19.0,8,19571.0,745.0,20000,0,Mombasa
1012,1013,81.0,5,28432.0,448.0,20000,1,Nairobi
1013,1014,77.0,9,13745.0,571.0,5000,1,Mombasa
1014,1015,38.0,11,13969.0,386.0,2000,0,Mombasa
1015,1016,50.0,6,17195.0,136.0,5000,1,Mombasa
1016,1017,75.0,4,24616.0,554.0,KES 5000,0,Mombasa
1017,1018,39.0,9,64735.0,118.0,2000,1,Nairobi
1018,1019,66.0,5,3701.0,486.0,2000,1,Mombasa
1019,1020,76.0,4,40615.0,226.0,10000,1,Nairobi
